OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,LONG,LAT
45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,,144.378,-38.237
45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,,145.242,-37.869
45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,,144.28,-36.761
45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.134,-38.196
45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,,144.853,-37.786
45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.283,-38.112
45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.283,-38.109
45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,,144.879,-38.367
45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,144.883,-37.817
45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,145.136,-38.109
45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,145.028,-37.741
45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,144.922,-37.662
45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,144.881,-37.823
45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,,144.993,-37.762
45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.159,-38.013
45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.171,-38.011
45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,,144.244,-36.796
45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.884,-37.689
45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,,143.868,-36.575
45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,145.032,-37.918
45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.356,-38.139
45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,,145.239,-38.021
45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,,145.263,-37.888
45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,,145.056,-37.831
45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.367,-38.044
45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,,145.195,-38.151
45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,145.139,-37.779
45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,,145.31,-38.008
45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,147.382,-37.698
45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,,145.274,-37.784
45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,144.966,-37.827
45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.388,-37.79
45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,,145.002,-37.801
45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,,145.002,-37.801
45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,,144.973,-37.837
45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,,144.991,-37.8
45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,,144.992,-37.8
45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,,144.993,-37.8
45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,,144.995,-37.8
45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,,144.996,-37.8
45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,,144.997,-37.8
45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,,144.999,-37.8
45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,,145,-37.801
45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,,145.197,-38.149
45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,,145.107,-37.893
45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,,144.872,-37.801
45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,,144.899,-37.74
45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,,145.363,-37.776
45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,144.884,-37.825
45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.079,-37.887
45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,145.173,-37.994
45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,,147.632,-37.826
45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,145.217,-37.817
45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,,145.215,-37.817
45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,,145.02,-37.827
45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.706,-37.851
45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,145.309,-38.014
45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,,144.939,-37.811
45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.936,-37.81
45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,,145.041,-38.22
45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,145.045,-37.767
45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,,144.86,-37.749
45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,,145.115,-37.828
45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,,144.345,-38.156
45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,145.143,-38.069
45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,,145.091,-37.94
45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,144.917,-37.802
45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,,145.129,-37.878
45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,,144.81,-37.816
45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,,144.885,-37.846
45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.54,-38.193
45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.538,-38.195
45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,,146.537,-38.196
45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,148.454,-37.709
