,ID,OPSHEET ID,SITE NO,SITE,DATE,MUNICIPALITY,BUS PRIORITY
0,1,1170_sheet004.htm,1170.0,"STUD
  ROAD NR TIMBERTOP DRIVE",2009-03-18 00:00:00,KNOX,['Bus Loop']
1,2,1170_sheet009.htm,1170.0,"STUD
  ROAD NR TIMBERTOP DRIVE",2009-03-18 00:00:00,KNOX,"['When set, inhibit Bus control operation from detector 8', 'BUS LOOP Detector 8', '1. If XSF2 flag is set, disable the demands for Bus Loop Operation via Detector 8.', '2. SG2 is conditional on a Bus demand via detector 8.', '9. If there is a Bus demand via detector 8 and a demand for P2, SG3 introduces after P2 \x91All Red\x92', 'If either Bus loop detector 8 or Queue loop detector 11 is on continuously cancel its call functions (apart from when it was first activated) until the detector again changes state.']"
2,3,1171_sheet001.htm,1171.0,"FRANKSTON
  - DANDENONG RD / COLEMANS RD",2009-10-16 00:00:00,GREATER DANDENONG,"[""DO NOT ALLOW BUS CALLS DURING 'A' LATE START""]"
3,4,1171_sheet004.htm,1171.0,"FRANKSTON
  - DANDENONG RD / COLEMANS RD",2009-10-16 00:00:00,GREATER DANDENONG,"['BUS', 'BUS', 'BUS', 'BUS']"
4,5,1171_sheet012.htm,1171.0,"FRANKSTON
  - DANDENONG RD / COLEMANS RD",2009-10-16 00:00:00,GREATER DANDENONG,"['(Refer bus detector operation for details).', '(Refer bus detector operation for details).', 'BUS DETECTOR OPERATION']"
5,6,1177_sheet004.htm,1177.0,"WALKER
  STREET/LANGHORNE STREET",2012-02-03 00:00:00,GREATER DANDENONG,['BUS LOOP']
6,7,1185_sheet003.htm,1185.0,"FERNTRE
  GULLY ROAD NR KATHRYN ROAD",2009-07-08 00:00:00,KNOX,"['BUS CONTROL', '* SG1 is conditional on a bus demand.', '* SG1 is conditional on Pedestrian (P1) demand and/or a bus']"
7,8,1185_sheet009.htm,1185.0,"FERNTRE
  GULLY ROAD NR KATHRYN ROAD",2009-07-08 00:00:00,KNOX,"['However, when the controller receives a request for the Bus Signal Group (SG3) from detector 9 at the Bus Stop, the Bus Movement (SG3), the west bound traffic movement (SG1) and Pedestrian Movement 1 (SG4) will be controlled as described in', 'BUS CONTROL', 'When XSF1 is set Bus Control is enabled to operate.', 'The Bus Signal Group (SG3) Operation:', 'SG3 is demanded by Detector 9 located in the Bus Bay.', 'If there is a Bus demand via detector 9 during P1 walk and clearance, SG3 introduces after P1 \x91All Red\x92 SG1 introduces after SG3']"
8,9,1203_sheet004.htm,1203.0,"RINGWOOD-WARRANDYTE
  ROAD / MILNE ROAD",2009-09-17 00:00:00,MANNINGHAM,"['Bus detector', 'Bus detector', 'Bus detector', 'Bus detector']"
9,10,1237_sheet005.htm,1237.0,"WALKER
  STREET / MASON STREET",2012-04-23 00:00:00,GREATER DANDENONG,"['BUS (SG 11)', 'BUS (SG 11)', 'BUS (SG 12)', 'BUS (SG 12)', 'BUS (SG 7)', 'BUS (SG 7)', 'BUS', 'BUS', 'BUS (SG 7)', 'BUS (SG 7)']"
10,11,1237_sheet013.htm,1237.0,"WALKER
  STREET / MASON STREET",2012-04-23 00:00:00,GREATER DANDENONG,"['\x93B\x94 PHASE (BUS PRIORITY PHASE) OPERATION', '\x93E\x94 PHASE (BUS PRIORITY PHASE) OPERATION', 'Detectors 9 & 10 and Detectors 15 & 16 are two pairs of bus detectors located on the Mason Street south approach, remote from this intersection.', 'Detectors 13 & 14 are bus detectors located on the Walker Street west approach to this intersection.', 'BUS EARLY START OPERATION IN AØ (SIGNAL GROUP 11)', 'Detectors 1 & 3 \x96 Bus Detection', 'BUS EARLY START OPERATION IN FØ (SIGNAL GROUP 12)', 'Detectors 4 & 6 \x96 Bus Detection']"
11,12,1267_sheet002.htm,1267.0,PENINSULA LINK/FRANKSTON-DANDENONG RD,2012-04-18 00:00:00,FRANKSTON,"['SG11 & 12 are 1-aspect (W) bus displays', 'Detectors 2 & 11 are Bus Detectors']"
12,13,1267_sheet013.htm,1267.0,PENINSULA LINK/FRANKSTON-DANDENONG RD,2012-04-18 00:00:00,FRANKSTON,"['BUS EARLY START OPERATION (SG11)', 'Detector 2 \x96 Bus Detector', 'BUS EARLY START OPERATION (SG12)', 'Detector 11 \x96 Bus Detector']"
13,14,1302_sheet005.htm,1302.0,PENINSULA LINK / CRANBOURNE ROAD,2016-12-02 00:00:00,FRANKSTON,"['BUS', 'BUS', 'BUS', 'BUS']"
14,15,1302_sheet014.htm,1302.0,PENINSULA LINK / CRANBOURNE ROAD,2016-12-02 00:00:00,FRANKSTON,"['BUS EARLY START OPERATION (SG11)', 'Detectors 2 and 3 - Bus Detectors', 'BUS EARLY START OPERATION (SG12)', 'Detectors 11 and 12 - Bus Detectors']"
15,16,1304_sheet001.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
16,17,1304_sheet002.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
17,18,1304_sheet003.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
18,19,1304_sheet004.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
19,20,1304_sheet005.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
20,21,1304_sheet006.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
21,22,1304_sheet007.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
22,23,1304_sheet008.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
23,24,1304_sheet009.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
24,25,1304_sheet010.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
25,26,1304_sheet011.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
26,27,1304_sheet012.htm,1304.0,"MCDONALDS
  RD/CIVIC DR/BUS INTERCHANGE",2011-08-03 00:00:00,WHITTLESEA,['MCDONALDS RD/CIVIC DR/BUS INTERCHANGE']
27,28,1305_sheet004.htm,1305.0,PENINSULA LINK / FRANKSTON-FLINDERS ROAD,2016-11-30 00:00:00,MORNINGTON PENINSULA,"['Bus (SG9)', 'Bus (SG9)']"
28,29,1305_sheet013.htm,1305.0,PENINSULA LINK / FRANKSTON-FLINDERS ROAD,2016-11-30 00:00:00,MORNINGTON PENINSULA,"['BUS EARLY START OPERATION (SG9)', 'Detectors 2 and 3 \x96 Bus Detectors']"
29,30,1316_sheet004.htm,1316.0,MARINE DRIVE NR VICTORIA STREET,2014-01-20 00:00:00,MORNINGTON PENINSULA,"['BUS loop', 'BUS loop']"
30,31,1363_sheet001.htm,1363.0,CRAIGIEBURN RD/VANTAGE BLVD/BARITONE BLVD,2014-04-01 00:00:00,HUME,"['( VEHICLE, VEHICLE FOR BUS )']"
31,32,1363_sheet002.htm,1363.0,CRAIGIEBURN RD/VANTAGE BLVD/BARITONE BLVD,2014-04-01 00:00:00,HUME,['SG9 & SG10 ARE A SINGLE ASPECT (W) BUS DISPLAY']
32,33,1363_sheet004.htm,1363.0,CRAIGIEBURN RD/VANTAGE BLVD/BARITONE BLVD,2014-04-01 00:00:00,HUME,"['VEH DET FOR BUS', 'VEH DET FOR BUS']"
